role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,19,1968,303,103.57894736842105,209.70315789473682,0.0
MOT,9,203,30,22.555555555555557,43.888888888888886,1.2222222222222223
