keep_role,drop_role,keep_start,keep_end,drop_start,drop_end,keep_text,drop_text
MOT,CHI,4014.0,4024.0,4024.0,4034.0,★お母さんが運転してるよ★,★お母さんが運転してるよ★
MOT,CHI,4064.0,4074.0,4074.0,4084.0,★お母さんが運転してるよ★,★お母さんが運転してるよ★
