role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,48,949,146,19.770833333333332,19.5625,0.1276595744680851
MOT,71,3057,481,43.056338028169016,48.816901408450704,0.425531914893617
