start,end,speaker,f0,rms
0.70596875,2.68034375,S1,305.3678998708598,0.20220866799354553
8.434718750000002,8.46846875,S1,709.232068720293,0.18621701002120972
12.24846875,12.771593750000001,S2,141.80165196359485,0.12058765441179276
13.497218750000002,13.547843750000002,S2,310.6805186980654,0.03649373725056648
14.594093750000003,15.539093750000003,S2,212.07272100643218,0.05384139344096184
16.48409375,17.14221875,S2,236.61978526444537,0.1410205215215683
17.32784375,20.17971875,S2,212.68347235120098,0.17821724712848663
20.09534375,20.16284375,S1,510.10989381205576,0.1029270589351654
20.17971875,24.719093750000003,S1,301.91852440800426,0.16547080874443054
25.090343750000002,27.48659375,S1,293.2400074925438,0.16219750046730042
28.22909375,29.44409375,S2,322.0250203504799,0.1314263790845871
31.688468750000002,34.69221875,S2,253.98913002445772,0.29124727845191956
37.86471875,37.98284375,S2,288.34506265940263,0.08731723576784134
38.033468750000004,39.299093750000004,S2,170.55712188675403,0.06842190027236938
40.07534375,42.16784375,S2,222.3478523234248,0.09065452963113785
42.82596875,43.77096875,S1,337.71642016682955,0.19187116622924805
43.77096875,43.78784375,S2,109.70149253731343,0.060868389904499054
43.80471875,44.85096875,S2,186.13735496879826,0.12382480502128601
44.985968750000005,45.89721875,S1,359.52435106466663,0.16258691251277924
49.06971875,49.59284375,S1,296.79002785337616,0.09232402592897415
51.02721875,53.18721875,S1,351.41203372087574,0.20196475088596344
52.86659375,53.77784375,S2,270.0051715163278,0.2170952558517456
54.03096875,55.532843750000005,S2,144.37560247882874,0.1464643031358719
55.650968750000004,58.165343750000005,S1,343.9334331312294,0.28049713373184204
58.45221875,59.14409375,S1,410.7400091231741,0.2717665433883667
60.899093750000006,62.21534375,S1,300.2896326943156,0.15343749523162842
63.36284375,63.39659375,S2,451.1611983049786,0.056318413466215134
63.46409375,67.98659375,S1,266.8781424454662,0.14663951098918915
69.35346875,70.88909375,S2,158.98831117920346,0.19886192679405212
70.66971875,70.87221875,S1,123.70988606844946,0.17379646003246307
70.88909375,71.20971875000001,S1,399.35952712633843,0.11633874475955963
72.08721875,72.18846875,S1,263.04415959508384,0.07999952137470245
74.36534375000001,76.42409375000001,S2,168.30304965691772,0.2861364781856537
77.30159375000001,81.01409375,S2,214.1343790833064,0.22911329567432404
80.84534375,82.02659375,S1,272.2508999635029,0.19031336903572083
82.87034375,83.44409375000001,S1,302.94682657826,0.19967521727085114
84.89534375000001,86.34659375000001,S2,272.6977034180514,0.2642824053764343
86.58284375000001,87.62909375000001,S2,242.28599693813558,0.32844069600105286
87.81471875000001,91.20659375000001,S2,217.12228674096804,0.2745177447795868
91.20659375000001,91.45971875000001,S1,332.226687603659,0.24234315752983093
93.16409375,95.42534375000001,S2,260.91527981750255,0.26729655265808105
95.88096875000001,97.43346875,S2,600.1604571287346,0.3681965470314026
98.12534375,98.36159375000001,S1,788.1845891834771,0.22885918617248535
98.81721875000001,99.25596875000001,S1,401.3367258838599,0.21651168167591095
100.25159375000001,100.87596875000001,S1,816.6666666666666,0.2575311064720154
100.97721875,101.02784375,S1,795.2848292306938,0.2592436969280243
107.25471875000001,107.28846875,S1,402.1023854095673,0.119554802775383
111.92909375,112.53659375000001,S1,190.74242784796994,0.18261465430259705
113.53221875000001,114.61221875000001,S1,472.1583851581479,0.2089705914258957
115.48971875000001,116.87346875,S1,146.07329167829243,0.16286951303482056
117.63284375,118.51034375,S1,361.2234304848846,0.1518714874982834
118.96596875,119.80971875,S1,137.8336718815634,0.12480061501264572
120.95721875000001,122.44221875000001,S1,610.0504841115297,0.2431981861591339
124.21409375,125.19284375000001,S2,196.3474656074718,0.14713117480278015
125.58096875000001,125.64846875,S1,137.23593192310506,0.05993462726473808
126.03659375000001,126.05346875000001,S1,643.0823103768078,0.13521581888198853
126.18846875000001,127.85909375000001,S2,183.6209984636817,0.19112622737884521
128.24721875,131.47034375,S2,191.65611522723037,0.21850906312465668
131.90909375,134.13659375,S2,214.47061457574125,0.2394709438085556
133.66409375,134.54159375,S1,334.86802981993185,0.281544029712677
134.54159375,135.04784375,S2,453.2392122226294,0.27185219526290894
136.41471875000002,138.25409375,S1,300.6635948420794,0.27753061056137085
138.60846875000001,140.95409375,S1,273.13460566945275,0.18471576273441315
141.46034375000002,144.26159375,S1,150.6960198059053,0.15170228481292725
148.22721875000002,148.91909375,S1,137.83433855356813,0.12677021324634552
151.50096875,154.08284375000002,S1,143.12767506528024,0.13864144682884216
159.49971875,160.46159375000002,S1,248.04538164729487,0.16203637421131134
161.17034375,163.12784375,S2,188.9445146397194,0.21025995910167694
162.82409375,164.34284375000001,S1,287.6792179964625,0.2712900936603546
164.46096875,166.60409375,S1,266.8328761571996,0.1952463835477829
166.60409375,168.02159375000002,S2,256.94323443935843,0.25652995705604553
168.47721875000002,171.91971875000002,S2,223.3065550478217,0.2585333585739136
172.34159375000002,174.61971875,S2,179.91920771003635,0.32366514205932617
174.70409375,177.58971875,S2,214.1112267005978,0.3105018436908722
177.58971875,177.72471875000002,S1,408.041907104294,0.2817904055118561
177.72471875000002,177.75846875000002,S2,425.57718987501056,0.1882372349500656
177.75846875000002,177.77534375000002,S1,607.8384730406342,0.09697333723306656
181.31909375,183.27659375000002,S1,260.8689608501259,0.11803913116455078
183.61409375000002,184.47471875000002,S1,138.16269774530815,0.0901719257235527
190.44846875000002,190.63409375,S1,422.15346346928203,0.1710485816001892
