role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,308,4610,657,14.967532467532468,10.50103896103896,0.4444444444444444
MOT,35,958,254,27.37142857142857,10.2,0.4444444444444444
