role,f0_mean,f0_sd,energy_mean,speech_rate,pause_p95
CHI,425.78857873111303,209.6579833085001,0.15769885226406835,10.892045454545455,5.699999999999999
MOT,325.0711682875062,218.1849907000083,0.13078515080823785,10.911047926362603,14.0
