role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,34,482,119,14.176470588235293,10.441176470588236,0.9523809523809523
MOT,23,143,68,6.217391304347826,4.869565217391305,0.19047619047619047
