n_utts,n_tokens,n_types,mlu,question_rate,dm_per_100t,mental_per_100t,role
34,480,118,14.117647058823529,0.0,5.416666666666667,0.0,CHI
23,143,68,6.217391304347826,0.0,6.293706293706293,0.0,MOT
