keep_role,drop_role,keep_start,keep_end,drop_start,drop_end,keep_text,drop_text
CHI,MOT,573.0,574.0,574.0,575.0,チュッチュは?,チュッチュ。
MOT,CHI,708.0,709.0,710.0,711.0,ダンプトラック。,ダンプトラック。
