role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,43,284,92,6.604651162790698,4.162790697674419,0.35294117647058826
MOT,45,529,149,11.755555555555556,6.3924444444444415,0.6470588235294118
