role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,212,2563,363,12.089622641509434,11.50943396226415,0.9655172413793104
MOT,40,747,193,18.675,8.15,1.2142857142857142
