keep_role,drop_role,keep_start,keep_end,drop_start,drop_end,keep_text,drop_text
CHI,MOT,3728.14,3729.14,3729.14,3730.14,ねっこ,ねっこ
CHI,MOT,3743.14,3744.14,3744.14,3745.14,きれいねえ,きれいねえ
