role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,82,464,181,5.658536585365853,4.70487804878049,0.42857142857142855
MOT,244,6319,849,25.897540983606557,14.85,0.3295774647887273
