n_utts,n_tokens,n_types,mlu,question_rate,dm_per_100t,mental_per_100t,role
11,107,47,9.727272727272727,0.09090909090909091,0.9345794392523364,0.0,CHI
31,529,146,17.06451612903226,0.3548387096774194,3.213610586011342,0.0,MOT
