role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,11,107,47,9.727272727272727,7.636363636363637,1.7777777777777777
MOT,31,530,147,17.096774193548388,10.32258064516129,1.7
