role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,34,127,68,3.735294117647059,3.0588235294117645,0.45454545454545453
MOT,44,672,166,15.272727272727273,8.545454545454545,0.4375
