n_utts,n_tokens,n_types,mlu,question_rate,dm_per_100t,mental_per_100t,role
34,125,67,3.676470588235294,0.17647058823529413,4.8,0.0,CHI
44,671,165,15.25,0.1590909090909091,2.9806259314456036,0.44709388971684055,MOT
