role,f0_mean,f0_sd,energy_mean,speech_rate,pause_p95
CHI,497.09753525037024,231.5968702976763,0.03237621283487362,9.873774509803923,2.0
MOT,385.8115012742641,217.997146015274,0.03901582784866067,9.577271907385544,5.0
