file_id,ref_intro_per_utt,ref_maint_per_utt,ref_reintro_per_utt,ref_ambig_pron_per_utt
td_Brown_040014,0.037,0.063,0.0407,0.1556
td_Brown_040028,0.0356,0.0297,0.0267,0.2611
td_Brown_040104,0.0531,0.0112,0.0196,0.2263
td_Brown_040111,0.0474,0.0289,0.0289,0.1684
td_Brown_040118,0.0452,0.0352,0.0754,0.0905
td_Brown_040128,0.062,0.0803,0.0511,0.1277
td_Brown_040201,0.0423,0.0228,0.0358,0.215
td_Brown_040209,0.0429,0.0679,0.0464,0.1
td_Brown_040216,0.0898,0.043,0.0273,0.1406
td_Brown_040217,0.0371,0.1184,0.0742,0.107
td_Brown_040223,0.049,0.0204,0.0367,0.1837
td_Brown_040307,0.0268,0.0322,0.0402,0.2118
td_Brown_040309,0.0289,0.1474,0.1377,0.0248
td_Brown_040313,0.0188,0.0,0.0038,0.4549
td_Brown_040326,0.033,0.0403,0.022,0.2784
td_Brown_040401,0.0278,0.0,0.0079,0.3254
td_Brown_040411,0.0227,0.0,0.0065,0.3689
td_Brown_040418,0.0147,0.0,0.0074,0.2831
td_Brown_040504,0.0453,0.0174,0.0209,0.1951
td_Brown_040508,0.0615,0.0115,0.0115,0.1538
td_Brown_040514,0.0453,0.0113,0.0038,0.2906
td_Brown_040522,0.037,0.0471,0.0101,0.2559
td_Brown_040529,0.0207,0.0266,0.0266,0.2456
td_Brown_040605,0.0354,0.0039,0.0236,0.2402
td_Brown_040624,0.0283,0.0035,0.0071,0.3922
td_Brown_040700,0.0302,0.0226,0.0189,0.3245
td_Brown_040711,0.0597,0.0224,0.0149,0.291
td_Brown_040724,0.0659,0.0969,0.0504,0.1434
td_Brown_040813,0.0462,0.0115,0.0,0.2923
td_Brown_040820,0.0705,0.0249,0.0166,0.249
td_Brown_040904,0.0354,0.0221,0.0177,0.2876
td_Brown_040912,0.0517,0.0148,0.0037,0.2472
td_Brown_040919,0.0714,0.0417,0.0536,0.1726
td_Brown_041006,0.0446,0.0149,0.0112,0.1673
td_Brown_041021,0.0513,0.0128,0.0299,0.1966
td_Brown_041027,0.0528,0.0203,0.0163,0.1992
td_Brown_041104,0.069,0.0345,0.0099,0.2167
td_Brown_041113,0.0261,0.0043,0.013,0.3087
td_Brown_041119,0.0732,0.0203,0.0163,0.1504
td_Brown_041126,0.1061,0.0859,0.0758,0.0808
td_Brown_050002,0.0085,0.0,0.0,0.4487
td_Brown_050010,0.0346,0.0173,0.0303,0.2727
td_Brown_050016,0.0195,0.0039,0.0039,0.3891
td_Brown_050025,0.0472,0.0157,0.0197,0.2598
td_Providence_010111,0.0192,0.0433,0.0337,0.0
td_Providence_010228,0.0059,0.002,0.0039,0.0079
td_Providence_010307,0.0134,0.0962,0.0604,0.0067
td_Providence_010313,0.0,0.0,0.0,0.0
td_Providence_010325,0.0185,0.321,0.0807,0.0017
td_Providence_010400,0.016,0.0448,0.0176,0.0224
td_Providence_010410,0.015,0.2417,0.0883,0.0
td_Providence_010411,0.004,0.0278,0.0219,0.008
td_Providence_010423,0.029,0.2004,0.1069,0.0134
td_Providence_010426,0.0056,0.0028,0.0028,0.0111
td_Providence_010502,0.032,0.3043,0.0892,0.0137
td_Providence_010508,0.0042,0.0,0.0042,0.0021
td_Providence_010511,0.0265,0.3646,0.1292,0.0018
td_Providence_010517,0.0152,0.0169,0.0051,0.0321
td_Providence_010521,0.0038,0.0,0.0,0.0
td_Providence_010524,0.0245,0.0978,0.0571,0.0217
td_Providence_010602,0.0029,0.0087,0.0087,0.0202
td_Providence_010604,0.0369,0.1292,0.0609,0.0277
td_Providence_010609,0.0237,0.1749,0.0929,0.0182
td_Providence_010620,0.0104,0.0221,0.0169,0.0494
td_Providence_010700,0.0136,0.0253,0.0117,0.0875
td_Providence_010704,0.0041,0.0,0.0,0.0021
td_Providence_010710,0.0207,0.1554,0.076,0.0449
td_Providence_010714,0.018,0.0248,0.0023,0.0743
td_Providence_010717,0.0355,0.1915,0.0709,0.0875
td_Providence_010726,0.0088,0.0022,0.0022,0.1077
td_Providence_010801,0.0221,0.0362,0.0322,0.0684
td_Providence_010804,0.0093,0.0037,0.0,0.0708
td_Providence_010805,0.0,0.0,0.0,0.0065
td_Providence_010808,0.0386,0.0723,0.0627,0.0611
td_Providence_010811,0.0134,0.0214,0.0161,0.1046
td_Providence_010814,0.0077,0.0292,0.0123,0.0
td_Providence_010818,0.0274,0.0823,0.0695,0.0548
td_Providence_010822,0.0,0.0,0.0,0.025
td_Providence_010825,0.0038,0.0,0.0,0.048
td_Providence_010907,0.0474,0.0226,0.0068,0.0361
td_Providence_010908,0.0363,0.1068,0.0919,0.0321
td_Providence_010915,0.0457,0.0269,0.0242,0.0215
td_Providence_010921,0.0303,0.0929,0.0566,0.0485
td_Providence_010925,0.0434,0.1067,0.1049,0.0362
td_Providence_010926,0.0253,0.0138,0.0046,0.1336
td_Providence_010927,0.0785,0.06,0.0277,0.0277
td_Providence_011005,0.0665,0.309,0.0794,0.0258
td_Providence_011011,0.0195,0.0108,0.0022,0.1818
td_Providence_011018,0.0402,0.0904,0.0602,0.0884
td_Providence_011023,0.009,0.0045,0.009,0.1281
td_Providence_011027,0.0377,0.0885,0.023,0.0672
td_Providence_011103,0.012,0.0412,0.0395,0.0515
td_Providence_011107,0.0303,0.0346,0.0195,0.145
td_Providence_011110,0.0152,0.0304,0.0152,0.1863
td_Providence_011115,0.0072,0.0048,0.0024,0.0955
td_Providence_011117,0.0172,0.113,0.0541,0.0614
td_Providence_011121,0.0155,0.0111,0.0066,0.1106
td_Providence_011122,0.0198,0.0593,0.0593,0.0847
td_Providence_011126,0.0269,0.1095,0.0372,0.0723
td_Providence_011128,0.0139,0.0056,0.0056,0.0556
td_Providence_020012,0.04,0.1859,0.0376,0.0753
td_Providence_020013,0.0067,0.0045,0.0,0.2175
td_Providence_020017,0.0281,0.0997,0.0486,0.0537
td_Providence_020023,0.0257,0.002,0.0079,0.0733
td_Providence_020025,0.0167,0.0389,0.0111,0.1167
td_Providence_020027,0.014,0.042,0.0175,0.2762
td_Providence_020028,0.0069,0.0114,0.0,0.0824
td_Providence_020100,0.041,0.0559,0.0428,0.1006
td_Providence_020101,0.0469,0.007,0.0141,0.1291
td_Providence_020102,0.0175,0.1125,0.06,0.01
td_Providence_020108,0.0835,0.109,0.0302,0.0418
td_Providence_020110,0.0444,0.0803,0.0581,0.0735
td_Providence_020115,0.0586,0.0242,0.0242,0.1414
td_Providence_020119,0.0204,0.0091,0.0113,0.1882
td_Providence_020122,0.0196,0.0294,0.0196,0.1412
td_Providence_020123,0.07,0.0316,0.0181,0.0813
td_Providence_020124,0.1336,0.2186,0.085,0.0729
td_Providence_020127,0.0083,0.0451,0.0134,0.0835
td_Providence_020202,0.0198,0.1294,0.0609,0.1522
td_Providence_020208,0.0311,0.0342,0.0031,0.0745
td_Providence_020209,0.0104,0.0334,0.0063,0.0626
td_Providence_020215a,0.1304,0.0205,0.023,0.0691
td_Providence_020215b,0.1153,0.0355,0.0288,0.102
td_Providence_020217,0.044,0.0495,0.033,0.1523
td_Providence_020221,0.0022,0.0022,0.0022,0.0218
td_Providence_020222,0.0249,0.0707,0.0312,0.0998
td_Providence_020300,0.0142,0.0407,0.046,0.0195
td_Providence_020305,0.0026,0.0,0.0,0.1735
td_Providence_020306,0.0538,0.0987,0.0538,0.13
td_Providence_020307,0.0073,0.0183,0.0256,0.0859
td_Providence_020312,0.0143,0.0143,0.0036,0.2222
td_Providence_020314,0.0141,0.0829,0.03,0.0265
td_Providence_020316,0.024,0.1007,0.0839,0.0671
td_Providence_020317,0.0385,0.0364,0.0107,0.1777
td_Providence_020319,0.0188,0.0118,0.0,0.1388
td_Providence_020324,0.022,0.0998,0.0643,0.1354
td_Providence_020402,0.0365,0.0322,0.0215,0.1438
td_Providence_020403,0.0143,0.0463,0.0196,0.1016
td_Providence_020409,0.1503,0.0856,0.0209,0.119
td_Providence_020411,0.0342,0.0752,0.0547,0.0729
td_Providence_020416,0.0586,0.0251,0.0628,0.1213
td_Providence_020419,0.0236,0.0193,0.0193,0.2056
td_Providence_020424,0.0511,0.1036,0.07,0.0848
td_Providence_020427,0.0294,0.1968,0.0611,0.0747
td_Providence_020428,0.0397,0.0188,0.0146,0.1754
td_Providence_020500,0.0207,0.0124,0.0187,0.1722
td_Providence_020501,0.0053,0.0018,0.0,0.2943
td_Providence_020506,0.0878,0.0992,0.0397,0.1615
td_Providence_020507,0.0538,0.0807,0.0583,0.1704
td_Providence_020514,0.0298,0.0775,0.0577,0.1272
td_Providence_020515,0.0243,0.0131,0.0261,0.0728
td_Providence_020516,0.0084,0.0084,0.0042,0.1195
td_Providence_020519,0.0295,0.1165,0.0656,0.0669
td_Providence_020523,0.0208,0.0445,0.0475,0.0341
td_Providence_020527,0.0161,0.0275,0.039,0.0734
td_Providence_020611,0.0154,0.0135,0.0019,0.1002
td_Providence_020612,0.0314,0.0112,0.0045,0.1973
td_Providence_020616,0.0355,0.0076,0.0076,0.264
td_Providence_020618,0.028,0.014,0.0327,0.1215
td_Providence_020620,0.0233,0.045,0.0558,0.0837
td_Providence_020625,0.0231,0.0578,0.0809,0.0983
td_Providence_020626,0.0218,0.0,0.0073,0.0847
td_Providence_020700,0.0172,0.0086,0.0043,0.2918
td_Providence_020701,0.0575,0.0219,0.0219,0.1096
td_Providence_020703,0.0356,0.0668,0.0579,0.0891
td_Providence_020705,0.0254,0.0508,0.0277,0.0716
td_Providence_020707,0.0315,0.0202,0.018,0.2067
td_Providence_020708,0.0211,0.0117,0.0094,0.223
td_Providence_020709,0.0341,0.0341,0.0192,0.1002
td_Providence_020713,0.0507,0.0946,0.0625,0.0963
td_Providence_020716,0.0473,0.0452,0.0172,0.228
td_Providence_020720,0.0303,0.0093,0.0186,0.0979
td_Providence_020725,0.05,0.025,0.0205,0.1727
td_Providence_020726,0.0119,0.0255,0.0153,0.1239
td_Providence_020727,0.0313,0.0649,0.0582,0.1186
td_Providence_020806,0.037,0.0386,0.0531,0.1383
td_Providence_020807,0.0223,0.0174,0.005,0.1911
td_Providence_020808,0.052,0.0977,0.0499,0.0624
td_Providence_020810,0.0333,0.028,0.0105,0.0998
td_Providence_020811,0.0313,0.0705,0.0783,0.0783
td_Providence_020813,0.0195,0.1907,0.0195,0.2062
td_Providence_020816,0.0086,0.03,0.0443,0.09
td_Providence_020819,0.0346,0.0806,0.0461,0.0922
td_Providence_020822,0.0216,0.0135,0.0135,0.1968
td_Providence_020828,0.0187,0.0653,0.0466,0.0205
td_Providence_020900,0.0317,0.019,0.0063,0.2282
td_Providence_020904,0.0546,0.0546,0.0218,0.1572
td_Providence_020905,0.033,0.0129,0.023,0.2267
td_Providence_020907,0.0069,0.0189,0.0103,0.1842
td_Providence_020908,0.0137,0.002,0.0039,0.2012
td_Providence_020909,0.0929,0.0476,0.0429,0.0595
td_Providence_020917,0.0191,0.0463,0.0447,0.1451
td_Providence_020920,0.0168,0.0093,0.0037,0.1639
td_Providence_020926,0.0063,0.0632,0.043,0.1024
td_Providence_021001,0.0195,0.0177,0.0195,0.2571
td_Providence_021002,0.0123,0.0,0.0021,0.3519
td_Providence_021008,0.0835,0.0919,0.071,0.0605
td_Providence_021008a,0.0365,0.1022,0.0365,0.1642
td_Providence_021008b,0.0263,0.0646,0.0144,0.2871
td_Providence_021011,0.0115,0.0426,0.0344,0.1637
td_Providence_021016,0.0,0.0,0.0,0.165
td_Providence_021018,0.0145,0.0782,0.02,0.1182
td_Providence_021025,0.0623,0.0386,0.0534,0.0742
td_Providence_021027,0.0309,0.1734,0.0594,0.1093
td_Providence_021028,0.0054,0.0,0.0,0.2962
td_Providence_021100,0.0241,0.0054,0.008,0.1206
td_Providence_021101,0.0173,0.0134,0.0019,0.1363
td_Providence_021114,0.0332,0.0498,0.0353,0.1784
td_Providence_021122,0.0106,0.0272,0.0469,0.0499
td_Providence_021123,0.0252,0.2306,0.0943,0.0671
td_Providence_021125,0.0308,0.0195,0.0146,0.1867
td_Providence_021126,0.0069,0.0069,0.0034,0.2034
td_Providence_030000,0.0351,0.1294,0.0751,0.0799
td_Providence_030003,0.0102,0.002,0.0122,0.2403
td_Providence_030006,0.0153,0.0268,0.0472,0.1467
td_Providence_030010,0.0232,0.0077,0.0015,0.1981
td_Providence_030011,0.0437,0.0297,0.0035,0.2028
td_Providence_030025,0.0113,0.0045,0.0,0.1991
td_Providence_030028,0.0134,0.0101,0.0101,0.2718
td_Providence_030100,0.0503,0.0563,0.0463,0.1449
td_Providence_030103,0.018,0.0324,0.0378,0.0701
td_Providence_030119,0.0214,0.008,0.008,0.1176
td_Providence_030121,0.0541,0.027,0.0111,0.2146
td_Providence_030125,0.0166,0.0242,0.0151,0.2057
td_Providence_030219,0.0214,0.0369,0.0505,0.2388
td_Providence_030301,0.0235,0.0028,0.0263,0.0789
td_Providence_030305,0.0148,0.0148,0.018,0.2459
td_Providence_030313,0.0146,0.0919,0.0626,0.0459
td_Providence_030323,0.0216,0.0265,0.0083,0.199
td_Providence_030325,0.0219,0.0724,0.0482,0.1645
td_Providence_030327,0.0131,0.0889,0.0598,0.0306
td_Providence_030400,0.0141,0.0164,0.0211,0.1241
td_Providence_030418,0.0248,0.0174,0.0186,0.2484
td_Providence_030420,0.015,0.0135,0.0254,0.1572
td_Providence_030528,0.0421,0.0165,0.0092,0.1648
td_Providence_030600,0.0374,0.0571,0.0286,0.1341
td_Providence_030621,0.0116,0.0116,0.0,0.1783
td_Providence_030623,0.0407,0.015,0.0257,0.137
td_Providence_030722,0.0285,0.0633,0.0443,0.1424
td_Providence_030725,0.0243,0.0756,0.0585,0.1027
td_Providence_030823,0.0221,0.0032,0.0095,0.3155
td_Providence_030927a,0.0331,0.0441,0.0368,0.125
td_Providence_030927b,0.1033,0.0418,0.0066,0.1692
td_Providence_031018,0.0108,0.0108,0.0036,0.2446
td_Providence_031025,0.0336,0.0252,0.0403,0.203
td_Providence_031124,0.0039,0.0,0.0,0.2323
td_Providence_040002,0.0584,0.0697,0.064,0.0772
td_Sachs_010616,0.0142,0.0391,0.0266,0.0213
td_Sachs_010800,0.005,0.01,0.0,0.0149
td_Sachs_010806,0.0291,0.0233,0.0058,0.0058
td_Sachs_011003,0.0156,0.0469,0.0156,0.1042
td_Sachs_011010a,0.0273,0.1311,0.0109,0.082
td_Sachs_011010b,0.024,0.04,0.02,0.02
td_Sachs_011011,0.0121,0.0405,0.0121,0.1296
td_Sachs_011018,0.0086,0.0194,0.0108,0.2602
td_Sachs_011102,0.0174,0.0581,0.0058,0.1453
td_Sachs_011106,0.0121,0.0081,0.0161,0.2097
td_Sachs_011121,0.0321,0.0688,0.0275,0.1514
td_Sachs_020018,0.0269,0.0554,0.0158,0.1725
td_Sachs_020109,0.037,0.1713,0.0509,0.0556
td_Sachs_020225,0.0345,0.0431,0.0474,0.1293
td_Sachs_020405,0.0395,0.0088,0.0175,0.3026
td_Sachs_020430,0.0225,0.027,0.018,0.2523
td_Sachs_020508,0.0359,0.083,0.0516,0.1973
td_Sachs_020716,0.0272,0.0156,0.0078,0.2393
td_Sachs_020814,0.0346,0.0323,0.0253,0.2581
td_Sachs_020823,0.0121,0.0,0.0,0.3145
td_Sachs_020909,0.0199,0.0149,0.0199,0.4328
td_Sachs_021108,0.0608,0.0166,0.0055,0.1326
td_Sachs_021112,0.0203,0.0076,0.0025,0.3858
td_Sachs_021113,0.0181,0.006,0.006,0.284
td_Sachs_030210,0.0481,0.037,0.0111,0.2296
td_Sachs_030327,0.0352,0.0323,0.0117,0.3314
td_Sachs_030400,0.0283,0.0601,0.0212,0.3675
td_Sachs_030418,0.0311,0.0466,0.0,0.2228
td_Sachs_030507,0.0209,0.0188,0.0063,0.2992
td_Sachs_030819,0.0256,0.0205,0.0,0.2615
