file_id,n_child,n_adult,chi_ratio,mlu_child,mlu_adult,ttr_child,ttr_adult,avg_chars_child,avg_chars_adult
td_Brown_041006,269,403,0.4,3.796,4.675,0.286,0.243,19.7,24.3
td_Brown_041021,234,197,0.543,3.299,5.462,0.373,0.336,17.3,28.1
td_Brown_041027,246,165,0.599,4.211,5.364,0.287,0.345,21.6,28.0
td_Brown_041104,203,111,0.646,3.665,5.072,0.344,0.423,18.8,26.5
td_Brown_041113,230,156,0.596,4.513,5.622,0.248,0.327,22.5,29.8
td_Brown_041119,246,315,0.439,3.447,4.73,0.35,0.295,18.4,25.5
td_Brown_041126,198,249,0.443,3.429,5.341,0.351,0.298,18.3,28.7
td_Brown_050002,234,178,0.568,3.577,4.461,0.237,0.315,18.7,23.6
td_Brown_050010,231,168,0.579,3.779,4.804,0.292,0.362,18.6,25.3
td_Brown_050016,257,200,0.562,3.879,5.73,0.271,0.299,19.8,30.1
td_Brown_050025,254,157,0.618,3.846,5.0,0.264,0.348,19.3,25.4
td_Providence_010111,208,406,0.339,1.49,4.14,0.119,0.226,25.1,35.3
td_Providence_010228,509,734,0.409,1.236,4.264,0.21,0.158,24.8,32.5
td_Providence_010307,447,806,0.357,1.698,4.517,0.12,0.177,25.2,38.3
td_Providence_010313,538,871,0.382,1.441,4.563,0.004,0.189,24.3,39.3
td_Providence_010325,595,964,0.382,2.269,5.205,0.099,0.151,29.5,38.5
td_Providence_010400,625,701,0.471,1.621,4.067,0.191,0.179,26.8,30.5
td_Providence_010410,600,876,0.407,2.075,5.381,0.123,0.146,27.5,41.9
td_Providence_010411,503,756,0.4,1.75,4.122,0.165,0.169,27.4,31.8
td_Providence_010423,449,881,0.338,2.702,5.455,0.164,0.16,35.8,42.1
td_Providence_010426,359,584,0.381,1.602,4.896,0.247,0.211,26.7,36.4
td_Providence_010502,437,733,0.374,3.263,5.371,0.123,0.162,37.4,35.1
td_Providence_010508,476,880,0.351,1.471,4.89,0.023,0.203,24.5,40.7
td_Providence_010511,565,857,0.397,2.885,5.292,0.128,0.162,35.7,38.1
td_Providence_010517,592,773,0.434,2.049,4.662,0.187,0.153,28.6,32.2
td_Providence_010521,533,984,0.351,1.321,4.747,0.04,0.18,24.0,38.6
td_Providence_010524,368,592,0.383,2.092,5.657,0.239,0.185,30.1,43.0
td_Providence_010602,693,722,0.49,1.626,3.899,0.107,0.189,25.5,33.8
td_Providence_010604,542,906,0.374,2.441,7.143,0.212,0.149,31.4,51.0
td_Providence_010609,549,878,0.385,2.76,5.386,0.199,0.157,33.3,40.3
td_Providence_010620,769,763,0.502,2.113,4.484,0.17,0.186,29.5,35.0
td_Providence_010700,514,537,0.489,2.078,4.844,0.193,0.21,28.7,36.8
td_Providence_010704,487,643,0.431,1.52,5.04,0.057,0.162,23.9,35.8
td_Providence_010710,579,900,0.391,2.62,5.061,0.174,0.172,31.4,41.8
td_Providence_010714,444,841,0.346,2.137,4.253,0.252,0.202,29.7,29.4
td_Providence_010717,423,647,0.395,2.801,7.028,0.163,0.159,32.1,51.0
td_Providence_010726,455,733,0.383,2.402,4.697,0.212,0.195,30.0,34.1
td_Providence_010801,497,672,0.425,2.577,5.927,0.208,0.166,31.0,45.5
td_Providence_010804,537,676,0.443,2.395,4.084,0.171,0.221,31.0,29.4
td_Providence_010805,306,572,0.349,1.634,4.14,0.08,0.196,26.3,34.6
td_Providence_010808,622,803,0.436,2.849,5.263,0.161,0.176,34.0,39.7
td_Providence_010811,373,680,0.354,1.751,3.447,0.087,0.261,26.2,35.5
td_Providence_010814,651,915,0.416,1.914,4.728,0.103,0.189,27.6,34.5
td_Providence_010818,547,737,0.426,2.59,6.166,0.195,0.164,31.0,45.6
td_Providence_010822,240,476,0.335,1.542,3.718,0.138,0.227,25.5,32.7
td_Providence_010825,521,736,0.414,1.534,3.314,0.049,0.214,25.1,31.0
td_Providence_010907,443,477,0.482,1.804,3.723,0.171,0.218,27.3,30.4
td_Providence_010908,468,601,0.438,2.705,5.265,0.187,0.199,32.3,41.5
td_Providence_010915,372,459,0.448,2.718,4.967,0.216,0.245,33.3,35.4
td_Providence_010921,495,711,0.41,3.311,5.633,0.168,0.159,35.3,42.9
td_Providence_010925,553,766,0.419,3.57,5.55,0.173,0.152,35.3,45.3
td_Providence_010926,434,877,0.331,3.053,4.651,0.213,0.214,32.2,33.4
td_Providence_010927,433,630,0.407,1.478,4.644,0.194,0.186,24.9,37.5
td_Providence_011005,466,579,0.446,3.341,5.501,0.184,0.192,35.4,40.2
td_Providence_011011,462,569,0.448,3.39,5.954,0.214,0.207,34.6,45.1
td_Providence_011018,498,601,0.453,3.962,7.1,0.159,0.184,38.3,49.2
td_Providence_011023,445,711,0.385,3.173,6.228,0.199,0.181,33.4,46.4
td_Providence_011027,610,972,0.386,2.772,5.233,0.163,0.176,32.0,38.8
td_Providence_011103,583,839,0.41,1.388,4.067,0.119,0.18,24.8,34.5
td_Providence_011107,462,638,0.42,4.058,7.281,0.178,0.172,38.4,49.2
td_Providence_011110,263,538,0.328,3.232,5.182,0.233,0.217,34.0,38.2
td_Providence_011115,419,659,0.389,1.823,5.226,0.177,0.188,26.4,36.1
td_Providence_011117,407,592,0.407,1.521,4.294,0.145,0.209,25.7,36.2
td_Providence_011121,452,836,0.351,2.867,4.62,0.201,0.196,32.5,33.6
td_Providence_011122,354,697,0.337,3.249,7.151,0.228,0.162,34.0,48.8
td_Providence_011126,484,768,0.387,3.643,5.503,0.169,0.178,35.6,40.0
td_Providence_011128,360,529,0.405,1.811,4.809,0.236,0.232,27.1,37.2
td_Providence_020012,425,555,0.434,3.214,4.973,0.179,0.213,33.7,35.7
td_Providence_020013,446,541,0.452,2.594,4.434,0.162,0.248,31.4,35.1
td_Providence_020017,391,636,0.381,3.332,6.597,0.198,0.172,33.7,45.9
td_Providence_020023,505,1027,0.33,2.523,5.387,0.239,0.205,30.3,43.2
td_Providence_020025,360,668,0.35,3.167,5.388,0.192,0.181,35.8,41.2
td_Providence_020027,286,400,0.417,3.164,4.463,0.243,0.232,32.8,36.2
td_Providence_020028,437,699,0.385,1.659,4.359,0.166,0.167,26.0,32.6
td_Providence_020100,537,884,0.378,3.369,6.206,0.213,0.158,35.1,46.1
td_Providence_020101,426,840,0.336,2.57,5.38,0.245,0.202,30.0,42.8
td_Providence_020102,400,778,0.34,1.815,4.342,0.081,0.172,26.1,37.3
td_Providence_020108,431,854,0.335,2.292,4.895,0.24,0.221,29.4,39.7
td_Providence_020110,585,882,0.399,3.614,6.049,0.183,0.148,36.0,47.5
td_Providence_020115,495,959,0.34,3.022,5.37,0.221,0.198,32.4,43.0
td_Providence_020119,441,492,0.473,2.832,4.341,0.175,0.227,31.5,33.8
td_Providence_020122,510,704,0.42,3.212,4.943,0.17,0.185,32.9,34.0
