fold,AUC_adj,F1_cal,thr
Flusberg+Brown,0.901,0.515,0.704
Flusberg+Providence,0.549,0.294,0.547
Flusberg+Sachs,0.914,0.483,0.767
Nadig+Brown,0.772,0.35,0.657
Nadig+Providence,0.779,0.205,0.562
Nadig+Sachs,0.798,0.455,0.77
Rollins+Brown,0.948,0.556,0.635
Rollins+Providence,0.592,0.128,0.553
Rollins+Sachs,0.952,0.737,0.644
