fold,n_test,auc,f1,ba,mcc,tn,fp,fn,tp
0,30,0.935,0.8181818181818182,0.875,0.7216878364870322,17,3,1,9
1,30,0.6000000000000001,0.16666666666666666,0.45,-0.1386750490563073,8,2,18,2
