fold,AUC_adj,F1_cal,thr
Flusberg+Brown,0.633,0.419,0.602
Flusberg+Providence,0.538,0.276,0.558
Flusberg+Sachs,0.662,0.484,0.709
Nadig+Brown,0.526,0.323,0.659
Nadig+Providence,0.662,0.116,0.536
Nadig+Sachs,0.617,0.556,0.694
Rollins+Brown,0.921,0.262,0.568
Rollins+Providence,0.571,0.088,0.593
Rollins+Sachs,0.624,0.5,0.652
