role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,115,1058,260,9.2,6.921739130434783,0.3917525773195876
MOT,178,4444,623,24.96629213483146,18.730337078651687,0.22448979591836735
