keep_role,drop_role,keep_start,keep_end,drop_start,drop_end,keep_text,drop_text
CHI,MOT,2711.1,2712.1,2713.1,2714.1,はちいよって,はちいよって
MOT,CHI,3578.1,3588.1,3589.1,3598.1,★ポケット入った★,★ポケット入った★
