role,n_utts,n_tokens,n_types,mlu,mean_turn_len,turn_latency_mean
CHI,129,770,248,5.9689922480620154,4.532713178294572,3.236206896551725
MOT,396,4207,722,10.623737373737374,5.457373737373737,3.4487719298245603
